filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:true,1.173640fdc86c4deab7e563e2342146b9,1
session.first:true,1.f289ad91d4c155a5579e7f874064afc5,1
session.first:true,1.7fbf1a54d2b56b4b55e93555eb7f5840,1
session.first:true,1.28317881922a1b6a19788186f08ba153,1
session.first:true,1.eb6d6bfea7e618639420ca5703104d22,1
session.first:true,1.4368c956440928da090b06aed7a6805b,1
session.first:true,1.adcf8992e550b24f6a07031d0634530c,1
session.first:true,1.1216f55506181886d3813b47ee887467,1
session.first:true,1.7aa0306457d5d99a11c37f9d26298eca,1
session.first:true,1.fb7296b34bcdb089e2504562c642e7e8,1
session.first:true,1.384cd7970f2a7f4b63e925f692b04c5d,1
session.first:true,1.383f11d025440f40e4f0e8730c71fa3c,1
session.first:true,1.82e9f6084cac1e24c2dfaf2e531426a8,1
session.first:true,1.6a90dc3c565ae4db04a5eb6da10e56e7,1
session.first:true,1.c6e3a3264a4beab1e740ef60052fed6f,1
session.first:true,1.c7836f5eb252e6c45da224d8a041742a,1
session.first:true,1.2105173c2548ce5d0cdeb4c3893ccdc5,1
session.first:true,1.2039189cf380ab5e23e68c3345724c22,1
session.first:true,1.2e29c9c7f172524291c60ea96997cddd,1
session.first:true,1.7cb1a8812f51a73185b9da882b3e50e5,1
session.first:true,1.61480f92113144f1504ae269ec24a95e,1
session.first:true,1.0e6711196a9a04b93774896e37100905,1
session.first:true,1.37988a7e775fe170bcb32a3ede8c6a1c,1
session.first:true,1.35dccc45c8f17b587491e415da5c0c1a,1
session.first:true,1.bb782b99841e9483eeb6bcd1d3f05e29,1
session.first:true,1.1974b4833d61ef0b033d3a1e96773fcb,1
session.first:true,1.553551e50092caa9147cf8a8104ef7cf,1
session.first:true,1.64a0d398046b5e1de880764d1c9183d2,1
session.first:true,1.97afa085ff6205879efea846c0059b38,1
session.first:true,1.3744c9d556b6865506ff13ec92e00936,1
session.first:true,1.7f3b0f438ea27a4a5a9ab2f944d1463f,1
session.first:true,1.0cb3faeade270842456cdb1acd318a6f,1
session.first:true,1.f207fb8c7271107eca21b74a2b3bf50a,1
session.first:true,1.d03a45c7b23eef9cade250092a823b92,1
session.first:true,1.9a9699ccaecdeac2033f78db54cebd89,1
session.first:true,1.bb41fd8cc28dac8e2d6f3ed0a084d5ea,1
session.first:true,1.1c6665142db9a4b51daef9b003f86419,1
session.first:true,1.b1bebfbf89e2ecab42cc31d0ffe27bc0,1
session.first:true,1.32255673f6bf86a4ba65fb8afed4a87d,1
session.first:true,1.b06fba352f067e7a9f8e33a6d81126b6,1
session.first:true,1.61f812456bc6af003a1985efee01f21d,1
session.first:true,1.2edc06127521082c3d4c004ebfe8adff,1
session.first:true,1.0a873d66a5a8b20489ea2653c7a6f52c,1
session.first:true,1.f05b74336618b9b8f1bf132805357cd1,1
session.first:true,1.0d66cfe63d7ab247b99f3f1419d7c59a,1
session.first:true,1.4ecdcfab6ad6c0679bd4431cadfca18e,1
session.first:true,1.c012e8356da6fc1d9a659dc2ad20df90,1
session.first:true,1.33aaf29ba477622e864d222a25f58025,1
